path,sha256,bytes,source_commit,author,license,modification,release_inclusion
krita/data/input/painttoolsaicompatible.profile,494a8892b61ba100e66d9e930916f2fbaa68cfb4e5215587eba7da76c4b9de84,1425,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/input/photoshopcompatible.profile,4d89258979b64d0db829912ec6491fb5f3e645bcc81865e45a283cb331835640,1280,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/input/tabletpro.profile,f771862379bc51fb76abefbc6bf7edcc8e2291dc46fb065eaf3371426cc65e03,1356,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/kritarc,311ddf48a5a2249686987f369e8fd49f36e75485abfc66c425e504e9567b8817,21695,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/metadata/schemas/CMakeLists.txt,0506de90d47b1ddd9443b2260bd82837e835af203f894c245fda51acabea5b99,297,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/metadata/schemas/dc.schema,d2aaa730647f481eca33dec74210ad3c9f90450413d206354631cfa2644ecbea,681,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/metadata/schemas/exif.schema,7bb402c4c3b5aac95ef32d221fa46d65d4c4e4c69da4eb3d4f4db0b90ffb4f6d,10342,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/metadata/schemas/mkn.schema,5c741c13be0c7f593d7ef65cf754a303927cbdaadb45f0b0888433f1d8b27787,176,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/metadata/schemas/tiff.schema,ac6f0af09ca9de6153a817b79cfcb3f2c6cf3de8a3b248d302e5058a134f5158,2210,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/metadata/schemas/xmp.schema,43f82c9816f5bb18211bab00f64d5a128388ed474f8abb142fa19e9bd013ae46,791,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/metadata/schemas/xmpmm.schema,d6f8885bf089f7914b5b3ca37afd5dfddb8dcf7226df95c9b3fd9ff125582a88,2509,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/metadata/schemas/xmprights.schema,0ce84622790ca7e0d248cedae64ca0be9cd8cff1010841b6f599227910b9c3c5,141,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/mime-database/freedesktop.org.xml,c25744e502a4956091775b11f87db06d68d2d5dcdae2336490d7af18d446f41f,2375737,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/mime-database/mime-database.qrc,6ea29d86db52a5805dc315cc763d7d27a2938f9f69eba85213aeaf63a4bbbb53,260,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/paintoppresets/CMakeLists.txt,1036373112ac7c4ced21c07bf0d4d53d14a6f46850d7fb0d34a71981e8103127,802,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/paintoppresets/Digital.tag,39412c1e516eed3bf1b3d5a9eac61c14046da05fc5b360c27037162a71110156,3866,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/paintoppresets/Erasers.tag,95f32bfec1128c1ffcadbbcdeb144946d81b14f3c6a40c21eefed2e2d599a193,2686,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/paintoppresets/FX.tag,f1e682d527e47ed3b371c5e6758e38f895ff06ebd6fffcd654fdf5a6c9538d8b,2068,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/paintoppresets/Favorites.tag,4b872f2f51c40e5d25e8a446607cbd7c343e1c08f060487ef870008bb4972f4e,3198,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/paintoppresets/Ink.tag,34c0a28f28e3a90a6557cc5a5242477e8cfd63c50c561de49081803e53cb3ccc,2476,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
